ime,prezime,pozicija,datumrodjenja,visina,tezina,brojdresa,poenipoutakmici,nazivtima,grad,pobjede,porazi
LeBron,James,SF,1984-12-30,206,113,6,25.00,Lakers,Los Angeles,55,27
Kevin,Durant,SF,1988-09-29,208,108,7,27.00,Nets,Brooklyn,48,34
Stephen,Curry,PG,1988-03-14,191,85,30,29.50,Warriors,Golden State,58,24
Jimmy,Butler,SG,1989-09-14,201,104,22,22.00,Heat,Miami,47,35
Zach,LaVine,SG,1995-03-10,196,95,8,26.70,Bulls,Chicago,45,37
Jayson,Tatum,SF,1998-03-03,203,95,0,24.80,Celtics,Boston,50,32
Anthony,Davis,PF,1993-03-11,208,115,3,22.10,Lakers,Los Angeles,55,27
James,Harden,SG,1989-08-26,196,100,13,26.50,Nets,Brooklyn,48,34
Kawhi,Leonard,SF,1991-06-29,201,102,2,25.70,Warriors,Golden State,58,24
Kyrie,Irving,PG,1992-03-23,190,88,11,24.40,Nets,Brooklyn,48,34
Giannis,Antetokounmpo,PF,1994-12-06,211,110,34,28.10,Warriors,Golden State,58,24
Nikola,Jokiæ,C,1995-02-19,213,129,15,26.20,Warriors,Golden State,58,24
