"ime","prezime","pozicija","datumrodjenja","visina","tezina","brojdresa","poenipoutakmici","nazivtima","grad","pobjede","porazi"
"LeBron","James","SF","1984-12-30","206","113","6","25.0","Lakers","Los Angeles","55","27"
"Kevin","Durant","SF","1988-09-29","208","108","7","27.0","Nets","Brooklyn","48","34"
"Stephen","Curry","PG","1988-03-14","191","85","30","29.5","Warriors","Golden State","58","24"
"Jimmy","Butler","SG","1989-09-14","201","104","22","22.0","Heat","Miami","47","35"
"Zach","LaVine","SG","1995-03-10","196","95","8","26.7","Bulls","Chicago","45","37"
"Jayson","Tatum","SF","1998-03-03","203","95","0","24.8","Celtics","Boston","50","32"
"Anthony","Davis","PF","1993-03-11","208","115","3","22.1","Lakers","Los Angeles","55","27"
"James","Harden","SG","1989-08-26","196","100","13","26.5","Nets","Brooklyn","48","34"
"Kawhi","Leonard","SF","1991-06-29","201","102","2","25.7","Warriors","Golden State","58","24"
"Kyrie","Irving","PG","1992-03-23","190","88","11","24.4","Nets","Brooklyn","48","34"
"Giannis","Antetokounmpo","PF","1994-12-06","211","110","34","28.1","Warriors","Golden State","58","24"
"Nikola","Jokić","C","1995-02-19","213","129","15","26.2","Warriors","Golden State","58","24"
"Damian","Lillard","PG","1990-07-15","191","88","0","28.9","Trail Blazers","Portland","44","38"
"Kemba","Walker","PG","1990-05-08","183","84","8","21.5","Celtics","Boston","50","32"
"Russell","Westbrook","PG","1988-11-12","191","91","0","22.7","Clippers","Los Angeles","48","34"
"Joel","Embiid","C","1994-03-16","213","113","21","26.4","76ers","Philadelphia","50","32"
"Khris","Middleton","SF","1991-08-12","206","104","22","20.8","Bulls","Chicago","45","37"
"Paul","George","SF","1990-05-02","206","100","13","23.6","Clippers","Los Angeles","48","34"
"Ben","Simmons","PG","1996-07-20","208","104","25","16.4","76ers","Philadelphia","50","32"
"Russell","Westbrook","PG","1988-11-12","191","91","0","22.7","Clippers","Los Angeles","48","34"
"Joel","Embiid","C","1994-03-16","213","113","21","26.4","76ers","Philadelphia","50","32"
"Khris","Middleton","SF","1991-08-12","206","104","22","20.8","Bulls","Chicago","45","37"
"Paul","George","SF","1990-05-02","206","100","13","23.6","Clippers","Los Angeles","48","34"
"Ben","Simmons","PG","1996-07-20","208","104","25","16.4","76ers","Philadelphia","50","32"
"Donovan","Mitchell","SG","1996-09-07","185","94","45","25.6","Raptors","Toronto","51","31"
"Devin","Booker","SG","1996-10-30","196","93","1","27.5","Trail Blazers","Portland","44","38"
"Luka","Dončić","PG","1999-02-28","201","102","77","28.6","76ers","Philadelphia","50","32"
"Jaylen","Brown","SG","1996-10-24","196","102","7","24.2","Celtics","Boston","50","32"
"Zion","Williamson","PF","2000-07-06","201","129","1","27.8","Pelicans","New Orleans","40","42"
